player,nation,age,mp,min,90s Played,gls,ast,g+a,g-pk,pk,pkatt,Yellow Cards,Red Cards,xg,npxg,xag,npxg+xag,Progressive Carries,Progressive Passes,Progressive Passes Received,Goals scored per 90 minutes,Assists per 90 minutes,Goal+ Assist per 90 minutes,g-pk per 90 minutes,g+a-pk per 90 minutes,xg per 90 minutes,xag per 90 minutes,xg+xag per 90 minutes,npxg per 90 minutes,npxg+xag per 90 minutes,achievements,df_progressive_passes_rec_90,df_tackles_90,df_interceptions_90,df_blocks_90,df_clearances_90,df_aerials_won_90,mf_shot_creating_actions_90,mf_passes_attempted_90,mf_pass_completion_pct,mf_progressive_passes_90,mf_progressive_carries_90,mf_progressive_passes_rec_90,mf_tackles_90,mf_interceptions_90,mf_blocks_90,mf_clearances_90,mf_aerials_won_90,gk_save_percentage,gk_psxg_per_sot,gk_save_pct_penalty_kicks,gk_clean_sheet_percentage,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_of_def_actions,Position,Date of birth / Age,Height,Foot,Market value,Club,League,role,prog_carries_90_any,prog_passes_rec_90_any,prog_passes_90_any,yc_90,rc_90,fwd_score,mf_score,df_score,gk_score,fwd_rank,mf_rank,df_rank,gk_rank,_market_value_eur,fwd_underrated,mf_underrated,df_underrated,gk_underrated,fwd_underrated_rank,mf_underrated_rank,df_underrated_rank,gk_underrated_rank
Raphinha,Brazil,27,57,4649.0,51.7,34.0,22.0,56.0,32.0,2.0,2.0,7.0,0.0,25.1,23.5,20.1,43.6,140.0,193.0,494.0,0.66,0.43,1.08,0.62,1.05,0.56,0.45,1.01,0.52,0.97,"2024-25 La Liga Best Player, 2x La Liga Champion",,,,,,,5.29,46.3,71.9,4.23,3.14,11.1,1.18,0.42,0.85,0.67,0.22,,,,,,,,Left Winger,14.12.1996 (28),"1,76m",left,€90.00m,Barcelona,La Liga,FWD,3.14,11.1,4.23,0.13539651837524178,0.0,0.7322542108464128,,,,5.0,,,,90000000.0,8.136157898293477e-09,,,,6.0,,,
Pedri,Spain,21,59,4618.0,51.3,6.0,8.0,14.0,6.0,0.0,0.0,3.0,0.0,2.6,2.6,9.5,12.1,123.0,474.0,178.0,0.12,0.16,0.27,0.12,0.27,0.06,0.21,0.27,0.06,0.27,2x La Liga Champion,,,,,,,5.35,83.0,88.1,10.93,2.75,4.0,2.2,0.8,1.6,0.58,0.18,,,,,,,,Central Midfield,25.11.2002 (22),"1,74m",right,€140.00m,Barcelona,La Liga,MF,2.75,4.0,10.93,0.058479532163742694,0.0,,1.1307288082653864,,,,2.0,,,140000000.0,,8.07663434475276e-09,,,,4.0,,
Lamine Yamal,Spain,17,55,4532.0,50.4,18.0,21.0,39.0,18.0,0.0,0.0,3.0,0.0,14.0,14.0,16.1,30.1,255.0,222.0,585.0,0.36,0.42,0.77,0.36,0.77,0.32,0.37,0.69,0.32,0.69,2024-25 La Liga Champion,,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,13.07.2007 (17),"1,80m",left,€200.00m,Barcelona,La Liga,FWD,5.059523809523809,11.607142857142858,4.404761904761905,0.05952380952380953,0.0,-0.0936351182246779,,,,12.0,,,,200000000.0,-4.681755911233895e-10,,,,10.0,,,
Jules Koundé,France,25,53,4418.0,49.1,4.0,8.0,12.0,4.0,0.0,0.0,6.0,0.0,2.4,2.4,6.1,8.5,65.0,212.0,256.0,0.08,0.16,0.24,0.08,0.24,0.06,0.15,0.21,0.06,0.21,2x La Liga Champion,6.34,1.88,0.67,1.31,2.65,1.04,,,,,,,,,,,,,,,,,,,Right-Back,12.11.1998 (26),"1,80m",right,€65.00m,Barcelona,La Liga,DF,1.3238289205702647,6.34,4.317718940936864,0.12219959266802444,0.0,,,0.24430251188595972,,,,10.0,,65000000.0,,,3.758500182860919e-09,,,,9.0,
Pau Cubarsí,Spain,17,56,4206.0,46.7,1.0,4.0,5.0,1.0,0.0,0.0,5.0,1.0,1.1,1.1,2.6,3.7,33.0,265.0,8.0,0.02,0.09,0.11,0.02,0.11,0.03,0.07,0.09,0.03,0.09,2024-25 La Liga Champion,0.2,1.0,0.7,0.5,2.75,2.1,,,,,,,,,,,,,,,,,,,Centre-Back,22.01.2007 (18),"1,84m",right,€80.00m,Barcelona,La Liga,DF,0.7066381156316917,0.2,5.674518201284796,0.1070663811563169,0.021413276231263382,,,-0.4534137447894856,,,,21.0,,80000000.0,,,-5.66767180986857e-09,,,,17.0,
Iñigo Martínez,Spain,33,46,3967.0,44.1,3.0,5.0,8.0,3.0,0.0,0.0,9.0,0.0,1.2,1.2,3.6,4.9,85.0,340.0,18.0,0.07,0.11,0.18,0.07,0.18,0.03,0.1,0.13,0.03,0.13,2024-25 La Liga Champion,0.48,0.97,0.56,0.86,3.86,1.91,,,,,,,,,,,,,,,,,,,Centre-Back,17.05.1991 (34),"1,82m",left,€5.00m,Barcelona,La Liga,DF,1.9274376417233559,0.48,7.709750566893423,0.20408163265306123,0.0,,,-0.2846275116554615,,,,19.0,,5000000.0,,,-5.6925502331092305e-08,,,,,
Robert Lewandowski,Poland,35,52,3905.0,43.4,42.0,3.0,45.0,35.0,7.0,8.0,3.0,0.0,37.5,32.0,3.9,35.9,37.0,75.0,216.0,0.97,0.07,1.04,0.81,0.88,0.93,0.1,1.03,0.8,0.89,"2x The Best FIFA Men's Player, 2019-20 UEFA Men's Player of the Year, 13x Domestic League Champion, 2019-20 Champions League Champion, 2x German Male Footballer of the Year, 12x Polish Footballer of the Year",,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,21.08.1988 (36),"1,85m",right,€12.00m,Barcelona,La Liga,FWD,0.8525345622119817,4.976958525345622,1.728110599078341,0.06912442396313365,0.0,0.8842079443383298,,,,2.0,,,,12000000.0,7.368399536152749e-08,,,,,,,
Alejandro Balde,Spain,20,47,3484.0,38.7,1.0,8.0,9.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,3.9,4.6,135.0,117.0,309.0,0.03,0.21,0.23,0.03,0.23,0.02,0.11,0.13,0.02,0.13,2x La Liga Champion,9.03,0.82,0.26,0.96,1.08,0.47,,,,,,,,,,,,,,,,,,,Left-Back,18.10.2003 (21),"1,75m",left,€60.00m,Barcelona,La Liga,DF,3.4883720930232553,9.03,3.023255813953488,0.10335917312661498,0.0,,,-0.7852426285299455,,,,24.0,,60000000.0,,,-1.308737714216576e-08,,,,20.0,
Wojciech Szczęsny,Poland,34,30,2725.0,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4x Domestic League Champion,,,,,,,,,,,,,,,,,,67.1,0.35,0.0,43.5,6.8,3.78,20.0,Goalkeeper,18.04.1990 (35),"1,95m",right,€1.00m,Barcelona,La Liga,GK,0.0,0.0,0.0,0.0,0.033003300330033,,,,0.01023464423297836,,,,4.0,1000000.0,,,,1.023464423297836e-08,,,,
Frenkie de Jong,Netherlands,27,46,2499.0,27.8,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,1.6,1.6,2.2,3.8,50.0,196.0,40.0,0.07,0.07,0.14,0.07,0.14,0.08,0.1,0.18,0.08,0.18,3x Domestic League Champion,,,,,,,2.87,85.76,94.2,9.15,2.3,1.77,1.72,1.06,0.66,0.75,0.84,,,,,,,,Central Midfield,12.05.1997 (28),"1,81m",right,€45.00m,Barcelona,La Liga,MF,2.3,1.77,9.15,0.2517985611510791,0.0,,0.2552424458257528,,,,5.0,,,45000000.0,,5.6720543516833955e-09,,,,5.0,,
