player,nation,age,mp,min,90s Played,gls,ast,g+a,g-pk,pk,pkatt,Yellow Cards,Red Cards,xg,npxg,xag,npxg+xag,Progressive Carries,Progressive Passes,Progressive Passes Received,gls_1,ast_1,g+a_1,g-pk_1,g+a-pk,xg_1,xag_1,xg+xag,npxg_1,npxg+xag_1,achievements,df_progressive_passes_rec_90,df_tackles_90,df_interceptions_90,df_blocks_90,df_clearances_90,df_aerials_won_90,mf_shot_creating_actions_90,mf_passes_attempted_90,mf_pass_completion_pct,mf_progressive_passes_90,mf_progressive_carries_90,mf_progressive_passes_rec_90,mf_tackles_90,mf_interceptions_90,mf_blocks_90,mf_clearances_90,mf_aerials_won_90,gk_save_percentage,gk_psxg_per_sot,gk_save_pct_penalty_kicks,gk_clean_sheet_percentage,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_of_def_actions,Player,Position,Date of birth / Age,Height,Foot,Market value,Club,League
David Raya,esESP,28,55,4980.0,55.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,76.7%,0.28,28.6%,37.3%,12.6%,1.65,16.9,David Raya,Goalkeeper,15.09.1995 (29),"1,83m",right,€40.00m,Arsenal,Premier League
William Saliba,frFRA,23,51,4464.0,49.6,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,2.6,2.6,0.9,3.5,20.0,170.0,7.0,0.04,0.0,0.04,0.04,0.04,0.06,0.02,0.08,0.06,0.08,,0.16,1.76,0.69,0.78,3.8,1.74,,,,,,,,,,,,,,,,,,,William Saliba,Centre-Back,24.03.2001 (24),"1,92m",right,€80.00m,Arsenal,Premier League
Declan Rice,engENG,25,52,4116.0,45.7,9.0,10.0,19.0,9.0,0.0,0.0,10.0,1.0,5.3,5.3,7.8,13.1,113.0,254.0,121.0,0.2,0.22,0.42,0.2,0.42,0.13,0.18,0.31,0.13,0.31,,,,,,,,3.13,50.87,84.0%,5.84,2.68,2.78,1.72,0.89,0.96,1.48,1.06,,,,,,,,Declan Rice,Central Midfield,14.01.1999 (26),"1,88m",right,€120.00m,Arsenal,Premier League
Thomas Partey,ghGHA,31,52,3940.0,43.8,4.0,2.0,6.0,4.0,0.0,0.0,7.0,0.0,2.9,2.9,2.6,5.5,49.0,222.0,63.0,0.09,0.05,0.14,0.09,0.14,0.07,0.06,0.14,0.07,0.14,3x Ghana Player of the Year,1.62,2.62,1.2,1.0,1.52,0.87,,,,,,,,,,,,,,,,,,,Thomas Partey,Defensive Midfield,13.06.1993 (32),"1,85m",right,€14.00m,Arsenal,Premier League
Jurriën Timber,nlNED,23,48,3666.0,40.7,2.0,4.0,6.0,2.0,0.0,0.0,9.0,0.0,1.8,1.8,2.2,4.1,70.0,193.0,122.0,0.05,0.1,0.15,0.05,0.15,0.05,0.06,0.11,0.05,0.11,2x Eredivisie Champion,3.37,2.32,0.97,0.77,1.79,0.94,,,,,,,,,,,,,,,,,,,Jurriën Timber,Right-Back,17.06.2001 (24),"1,79m",right,€55.00m,Arsenal,Premier League
Gabriel Martinelli,brBRA,23,51,3551.0,39.5,10.0,5.0,15.0,10.0,0.0,0.0,3.0,0.0,11.6,11.6,7.0,18.6,168.0,67.0,373.0,0.25,0.13,0.38,0.25,0.38,0.32,0.2,0.52,0.32,0.52,,,,,,,,2.82,26.02,71.1%,1.86,4.65,10.15,0.9,0.17,0.73,0.7,0.62,,,,,,,,Gabriel Martinelli,Left Winger,18.06.2001 (24),"1,78m",right,€55.00m,Arsenal,Premier League
Gabriel Magalhães,brBRA,26,42,3499.0,38.9,5.0,1.0,6.0,5.0,0.0,0.0,6.0,0.0,3.9,3.9,0.9,4.8,13.0,162.0,11.0,0.13,0.03,0.15,0.13,0.15,0.11,0.02,0.14,0.11,0.14,,0.31,0.85,0.6,1.51,3.55,2.3,,,,,,,,,,,,,,,,,,,Gabriel Magalhães,Centre-Back,19.12.1997 (27),"1,90m",left,€75.00m,Arsenal,Premier League
Leandro Trossard,beBEL,29,56,3452.0,38.4,10.0,9.0,19.0,10.0,0.0,1.0,5.0,1.0,9.9,9.1,6.8,15.9,98.0,133.0,271.0,0.26,0.23,0.5,0.26,0.5,0.28,0.19,0.47,0.26,0.44,2018-19 Belgian First Division A Champion,,,,,,,,,,,,,,,,,,,,,,,,,Leandro Trossard,Left Winger,04.12.1994 (30),"1,72m",right,€22.00m,Arsenal,Premier League
Martin Ødegaard,noNOR,25,45,3437.0,38.2,6.0,11.0,17.0,5.0,1.0,2.0,4.0,0.0,6.7,5.9,7.0,12.8,123.0,316.0,193.0,0.16,0.29,0.45,0.13,0.42,0.19,0.2,0.39,0.17,0.37,,,,,,,,4.73,55.67,82.4%,9.05,3.57,5.56,0.75,0.29,0.26,0.35,0.26,,,,,,,,Martin Ødegaard,Attacking Midfield,17.12.1998 (26),"1,78m",left,€85.00m,Arsenal,Premier League
Kai Havertz,deGER,25,36,2810.0,31.2,15.0,4.0,19.0,15.0,0.0,0.0,7.0,0.0,12.2,12.2,3.5,15.7,39.0,80.0,157.0,0.48,0.13,0.61,0.48,0.61,0.45,0.13,0.58,0.45,0.58,2020-21 Champions League Champion,,,,,,,2.31,26.28,79.0%,2.92,1.4,5.6,0.8,0.23,1.06,1.36,2.99,,,,,,,,Kai Havertz,Centre-Forward,11.06.1999 (26),"1,93m",left,€65.00m,Arsenal,Premier League
