player,nation,age,mp,min,90s Played,gls,ast,g+a,g-pk,pk,pkatt,Yellow Cards,Red Cards,xg,npxg,xag,npxg+xag,Progressive Carries,Progressive Passes,Progressive Passes Received,gls_1,ast_1,g+a_1,g-pk_1,g+a-pk,xg_1,xag_1,xg+xag,npxg_1,npxg+xag_1,achievements,df_progressive_passes_rec_90,df_tackles_90,df_interceptions_90,df_blocks_90,df_clearances_90,df_aerials_won_90,mf_shot_creating_actions_90,mf_passes_attempted_90,mf_pass_completion_pct,mf_progressive_passes_90,mf_progressive_carries_90,mf_progressive_passes_rec_90,mf_tackles_90,mf_interceptions_90,mf_blocks_90,mf_clearances_90,mf_aerials_won_90,gk_save_percentage,gk_psxg_per_sot,gk_save_pct_penalty_kicks,gk_clean_sheet_percentage,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_of_def_actions,Player,Position,Date of birth / Age,Height,Foot,Market value,Club,League
Raphinha,brBRA,27,57,4649.0,51.7,34.0,22.0,56.0,32.0,2.0,2.0,7.0,0.0,25.1,23.5,20.1,43.6,140.0,193.0,494.0,0.66,0.43,1.08,0.62,1.05,0.56,0.45,1.01,0.52,0.97,"2024-25 La Liga Best Player, 2x La Liga Champion",,,,,,,5.29,46.3,71.9%,4.23,3.14,11.1,1.18,0.42,0.85,0.67,0.22,,,,,,,,Raphinha,Left Winger,14.12.1996 (28),"1,76m",left,€90.00m,Barcelona,La Liga
Pedri,esESP,21,59,4618.0,51.3,6.0,8.0,14.0,6.0,0.0,0.0,3.0,0.0,2.6,2.6,9.5,12.1,123.0,474.0,178.0,0.12,0.16,0.27,0.12,0.27,0.06,0.21,0.27,0.06,0.27,2x La Liga Champion,,,,,,,5.35,83.0,88.1%,10.93,2.75,4.0,2.2,0.8,1.6,0.58,0.18,,,,,,,,Pedri,Central Midfield,25.11.2002 (22),"1,74m",right,€140.00m,Barcelona,La Liga
Lamine Yamal,esESP,17,55,4532.0,50.4,18.0,21.0,39.0,18.0,0.0,0.0,3.0,0.0,14.0,14.0,16.1,30.1,255.0,222.0,585.0,0.36,0.42,0.77,0.36,0.77,0.32,0.37,0.69,0.32,0.69,2024-25 La Liga Champion,,,,,,,,,,,,,,,,,,,,,,,,,Lamine Yamal,Right Winger,13.07.2007 (17),"1,80m",left,€200.00m,Barcelona,La Liga
Jules Koundé,frFRA,25,53,4418.0,49.1,4.0,8.0,12.0,4.0,0.0,0.0,6.0,0.0,2.4,2.4,6.1,8.5,65.0,212.0,256.0,0.08,0.16,0.24,0.08,0.24,0.06,0.15,0.21,0.06,0.21,2x La Liga Champion,6.34,1.88,0.67,1.31,2.65,1.04,,,,,,,,,,,,,,,,,,,Jules Koundé,Right-Back,12.11.1998 (26),"1,80m",right,€65.00m,Barcelona,La Liga
Pau Cubarsí,esESP,17,56,4206.0,46.7,1.0,4.0,5.0,1.0,0.0,0.0,5.0,1.0,1.1,1.1,2.6,3.7,33.0,265.0,8.0,0.02,0.09,0.11,0.02,0.11,0.03,0.07,0.09,0.03,0.09,2024-25 La Liga Champion,0.2,1.0,0.7,0.5,2.75,2.1,,,,,,,,,,,,,,,,,,,Pau Cubarsí,Centre-Back,22.01.2007 (18),"1,84m",right,€80.00m,Barcelona,La Liga
Iñigo Martínez,esESP,33,46,3967.0,44.1,3.0,5.0,8.0,3.0,0.0,0.0,9.0,0.0,1.2,1.2,3.6,4.9,85.0,340.0,18.0,0.07,0.11,0.18,0.07,0.18,0.03,0.1,0.13,0.03,0.13,2024-25 La Liga Champion,0.48,0.97,0.56,0.86,3.86,1.91,,,,,,,,,,,,,,,,,,,Iñigo Martínez,Centre-Back,17.05.1991 (34),"1,82m",left,€5.00m,Barcelona,La Liga
Robert Lewandowski,plPOL,35,52,3905.0,43.4,42.0,3.0,45.0,35.0,7.0,8.0,3.0,0.0,37.5,32.0,3.9,35.9,37.0,75.0,216.0,0.97,0.07,1.04,0.81,0.88,0.93,0.1,1.03,0.8,0.89,"2x The Best FIFA Men's Player, 2019-20 UEFA Men's Player of the Year, 13x Domestic League Champion, 2019-20 Champions League Champion, 2x German Male Footballer of the Year, 12x Polish Footballer of the Year",,,,,,,,,,,,,,,,,,,,,,,,,Robert Lewandowski,Centre-Forward,21.08.1988 (36),"1,85m",right,€12.00m,Barcelona,La Liga
Alejandro Balde,esESP,20,47,3484.0,38.7,1.0,8.0,9.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,3.9,4.6,135.0,117.0,309.0,0.03,0.21,0.23,0.03,0.23,0.02,0.11,0.13,0.02,0.13,2x La Liga Champion,9.03,0.82,0.26,0.96,1.08,0.47,,,,,,,,,,,,,,,,,,,Alejandro Balde,Left-Back,18.10.2003 (21),"1,75m",left,€60.00m,Barcelona,La Liga
Wojciech Szczęsny,plPOL,34,30,2725.0,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4x Domestic League Champion,,,,,,,,,,,,,,,,,,67.1%,0.35,0.0%,43.5%,6.8%,3.78,20.0,Wojciech Szczesny,Goalkeeper,18.04.1990 (35),"1,95m",right,€1.00m,Barcelona,La Liga
Frenkie de Jong,nlNED,27,46,2499.0,27.8,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,1.6,1.6,2.2,3.8,50.0,196.0,40.0,0.07,0.07,0.14,0.07,0.14,0.08,0.1,0.18,0.08,0.18,3x Domestic League Champion,,,,,,,2.87,85.76,94.2%,9.15,2.3,1.77,1.72,1.06,0.66,0.75,0.84,,,,,,,,Frenkie de Jong,Central Midfield,12.05.1997 (28),"1,81m",right,€45.00m,Barcelona,La Liga
Marc Casado,esESP,20,36,2443.0,27.1,1.0,6.0,7.0,1.0,0.0,0.0,5.0,1.0,1.4,1.4,1.8,3.3,18.0,154.0,35.0,0.04,0.22,0.26,0.04,0.26,0.06,0.07,0.13,0.06,0.13,2024-25 La Liga Champion,,,,,,,2.47,75.67,90.0%,6.02,0.71,1.3,3.05,1.04,1.17,1.21,0.46,,,,,,,,Marc Casadó,Defensive Midfield,14.09.2003 (21),"1,72m",right,€30.00m,Barcelona,La Liga
Eric García,esESP,23,45,2119.0,23.5,5.0,3.0,8.0,5.0,0.0,0.0,4.0,1.0,3.4,3.4,1.0,4.5,20.0,131.0,28.0,0.21,0.13,0.34,0.21,0.34,0.17,0.05,0.22,0.17,0.22,3x Domestic League Champion,1.51,2.31,0.85,1.32,2.31,1.46,,,,,,,,,,,,,,,,,,,Eric García,Centre-Back,09.01.2001 (24),"1,82m",right,€18.00m,Barcelona,La Liga
Fermin López,esESP,21,46,2051.0,22.8,8.0,9.0,17.0,8.0,0.0,0.0,6.0,1.0,7.4,7.4,5.8,13.2,42.0,94.0,147.0,0.35,0.39,0.75,0.35,0.75,0.4,0.31,0.71,0.4,0.71,2024-25 La Liga Champion,,,,,,,3.75,46.29,82.0%,4.94,2.26,7.61,1.49,0.31,0.98,0.36,0.46,,,,,,,,Fermín López,Attacking Midfield,11.05.2003 (22),"1,74m",right,€50.00m,Barcelona,La Liga
Iñaki Peña,esESP,25,23,1968.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-25 La Liga Champion,,,,,,,,,,,,,,,,,,67.2%,0.3,0.0%,30.0%,2.7%,5.07,22.2,Iñaki Peña,Goalkeeper,02.03.1999 (26),"1,84m",right,€8.00m,Barcelona,La Liga
Ferrán Torres,esESP,24,45,1933.0,21.5,19.0,7.0,26.0,19.0,0.0,0.0,2.0,1.0,11.0,11.0,3.6,14.6,25.0,43.0,129.0,0.88,0.33,1.21,0.88,1.21,0.65,0.21,0.86,0.65,0.86,3x Domestic League Champion,,,,,,,,,,,,,,,,,,,,,,,,,Ferran Torres,Centre-Forward,29.02.2000 (25),"1,84m",right,€40.00m,Barcelona,La Liga
Dani Olmo,esESP,26,39,1927.0,21.4,12.0,6.0,18.0,10.0,2.0,2.0,1.0,0.0,8.8,7.2,3.9,11.1,45.0,114.0,133.0,0.56,0.28,0.84,0.47,0.75,0.48,0.22,0.69,0.39,0.61,5x Domestic League Champion,,,,,,,5.05,47.07,80.8%,6.17,2.39,7.39,1.28,0.21,0.53,0.64,0.85,,,,,,,,Dani Olmo,Attacking Midfield,07.05.1998 (27),"1,79m",right,€60.00m,Barcelona,La Liga
Gerard Martín,esESP,22,42,1805.0,20.1,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,3.0,3.5,16.0,58.0,164.0,0.05,0.3,0.35,0.05,0.35,0.03,0.19,0.21,0.03,0.21,2024-25 La Liga Champion,9.95,1.91,1.3,1.3,2.78,1.05,,,,,,,,,,,,,,,,,,,Gerard Martín,Left-Back,26.02.2002 (23),"1,86m",left,€12.00m,Barcelona,La Liga
Gavi,esESP,19,42,1691.0,18.8,3.0,2.0,5.0,3.0,0.0,0.0,6.0,0.0,1.1,1.1,1.7,2.9,17.0,88.0,57.0,0.16,0.11,0.27,0.16,0.27,0.08,0.11,0.19,0.08,0.19,2x La Liga Champion,,,,,,,3.2,64.05,89.7%,5.88,1.15,3.64,2.56,0.64,1.34,0.7,1.73,,,,,,,,Gavi,Central Midfield,05.08.2004 (20),"1,73m",right,€60.00m,Barcelona,La Liga
Ronald Araújo,uyURU,25,25,1562.0,17.4,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.4,1.4,0.4,1.9,6.0,59.0,3.0,0.12,0.12,0.23,0.12,0.23,0.1,0.03,0.13,0.1,0.13,2x La Liga Champion,0.26,1.58,0.86,1.32,4.41,3.75,,,,,,,,,,,,,,,,,,,Ronald Araujo,Centre-Back,07.03.1999 (26),"1,92m",right,€35.00m,Barcelona,La Liga
Marc-André ter Stegen,deGER,32,9,764.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2022-23 La Liga Best Player, 5x La Liga Champion, 2014-15 Champions League Champion",,,,,,,,,,,,,,,,,,69.0%,0.24,0.0%,14.3%,10.1%,2.94,17.4,Marc-André ter Stegen,Goalkeeper,30.04.1992 (33),"1,87m",right,€12.00m,Barcelona,La Liga
Héctor Fort,esESP,17,20,647.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.9,1.1,14.0,28.0,38.0,0.0,0.0,0.0,0.0,0.0,0.04,0.13,0.16,0.04,0.16,2024-25 La Liga Champion,5.39,2.27,0.99,1.7,2.55,0.43,,,,,,,,,,,,,,,,,,,Héctor Fort,Right-Back,02.08.2006 (18),"1,85m",right,€10.00m,Barcelona,La Liga
Pablo Torre,esESP,21,14,425.0,4.7,4.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.6,5.0,19.0,22.0,0.85,0.64,1.48,0.85,1.48,0.21,0.21,0.42,0.21,0.42,2x La Liga Champion,,,,,,,,,,,,,,,,,,,,,,,,,Pablo Torre,Attacking Midfield,03.04.2003 (22),"1,73m",right,€6.00m,Barcelona,La Liga
Pau Victor,esESP,22,29,397.0,4.4,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,3.0,3.0,1.1,4.1,6.0,14.0,30.0,0.45,0.23,0.68,0.45,0.68,0.76,0.27,1.03,0.76,1.03,2024-25 La Liga Champion,,,,,,,,,,,,,,,,,,,,,,,,,Pau Víctor,Centre-Forward,26.11.2001 (23),"1,84m",right,€4.00m,Barcelona,La Liga
Ansu Fati,esESP,21,11,303.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2,1.1,8.0,11.0,36.0,0.0,0.0,0.0,0.0,0.0,0.32,0.05,0.38,0.32,0.38,2x La Liga Champion,,,,,,,,,,,,,,,,,,,,,,,,,Ansu Fati,Left Winger,31.10.2002 (22),"1,78m",right,€5.00m,Barcelona,La Liga
Andreas Christensen,dkDEN,28,6,262.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.1,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,"2x La Liga Champion, 2020-21 Champions League Champion, 2023 Danish Male Footballer of the Year",,,,,,,,,,,,,,,,,,,,,,,,,Andreas Christensen,Centre-Back,10.04.1996 (29),"1,87m",right,€12.00m,Barcelona,La Liga
