player,nation,age,mp,min,90s Played,gls,ast,g+a,g-pk,pk,pkatt,Yellow Cards,Red Cards,xg,npxg,xag,npxg+xag,Progressive Carries,Progressive Passes,Progressive Passes Received,gls_1,ast_1,g+a_1,g-pk_1,g+a-pk,xg_1,xag_1,xg+xag,npxg_1,npxg+xag_1,achievements,df_progressive_passes_rec_90,df_tackles_90,df_interceptions_90,df_blocks_90,df_clearances_90,df_aerials_won_90,mf_shot_creating_actions_90,mf_passes_attempted_90,mf_pass_completion_pct,mf_progressive_passes_90,mf_progressive_carries_90,mf_progressive_passes_rec_90,mf_tackles_90,mf_interceptions_90,mf_blocks_90,mf_clearances_90,mf_aerials_won_90,gk_save_percentage,gk_psxg_per_sot,gk_save_pct_penalty_kicks,gk_clean_sheet_percentage,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_of_def_actions,Player,Position,Date of birth / Age,Height,Foot,Market value,Club,League
Mohamed Salah,egEGY,32,52,4490.0,49.9,34.0,23.0,57.0,23.0,11.0,12.0,1.0,0.0,30.2,21.6,17.7,39.3,191.0,184.0,602.0,0.68,0.46,1.14,0.46,0.92,0.66,0.38,1.04,0.47,0.85,"2x African Footballer of the Year, 2x Premier League Player of the Season, 4x Domestic League Champion, 2018-19 Champions League Champion, 3x FWA Footballer of the Year, 2x PFA Players' Player of the Year",,,,,,,,,,,,,,,,,,,,,,,,,Mohamed Salah,Right Winger,15.06.1992 (33),"1,75m",left,€50.00m,Liverpool,Premier League
Virgil van Dijk,nlNED,33,49,4436.0,49.3,5.0,1.0,6.0,5.0,0.0,0.0,7.0,0.0,2.9,2.9,0.8,3.7,23.0,234.0,6.0,0.1,0.02,0.12,0.1,0.12,0.06,0.02,0.08,0.06,0.08,"2018-19 Premier League Player of the Season, 2018-19 UEFA Men's Player of the Year, 5x Domestic League Champion, 2018-19 Champions League Champion, 2018-19 PFA Players' Player of the Year",0.15,0.97,1.38,0.84,4.88,3.04,,,,,,,,,,,,,,,,,,,Virgil van Dijk,Centre-Back,08.07.1991 (33),"1,95m",right,€23.00m,Liverpool,Premier League
Ryan Gravenberch,nlNED,22,49,4196.0,46.6,0.0,4.0,4.0,0.0,0.0,0.0,7.0,1.0,1.1,1.1,3.8,4.9,87.0,232.0,72.0,0.0,0.09,0.09,0.0,0.09,0.03,0.09,0.11,0.03,0.11,4x Domestic League Champion,,,,,,,1.87,53.28,89.5%,5.3,1.99,1.68,2.06,1.87,1.05,1.49,0.68,,,,,,,,Ryan Gravenberch,Defensive Midfield,16.05.2002 (23),"1,90m",right,€75.00m,Liverpool,Premier League
Alexis Mac Allister,arARG,25,49,3558.0,39.5,7.0,6.0,13.0,7.0,0.0,0.0,11.0,0.0,4.3,4.3,7.0,11.3,44.0,221.0,92.0,0.18,0.15,0.33,0.18,0.33,0.12,0.19,0.31,0.12,0.31,"2x Domestic League Champion, 2022 World Cup Champion",,,,,,,4.12,52.03,83.8%,6.03,1.24,2.57,3.24,0.86,2.21,1.0,0.53,,,,,,,,Alexis Mac Allister,Central Midfield,24.12.1998 (26),"1,76m",right,€100.00m,Liverpool,Premier League
Dominik Szoboszlai,huHUN,23,49,3421.0,38.0,8.0,8.0,16.0,8.0,0.0,0.0,6.0,0.0,8.4,8.4,8.1,16.5,84.0,169.0,158.0,0.21,0.21,0.42,0.21,0.42,0.24,0.23,0.47,0.24,0.47,4x Domestic League Champion,,,,,,,4.0,47.74,83.7%,4.78,2.39,4.52,1.44,0.35,1.44,0.72,0.6,,,,,,,,Dominik Szoboszlai,Attacking Midfield,25.10.2000 (24),"1,87m",right,€80.00m,Liverpool,Premier League
Ibrahima Konaté,frFRA,25,42,3365.0,37.4,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,2.2,2.2,1.0,3.2,27.0,134.0,3.0,0.05,0.05,0.11,0.05,0.11,0.06,0.03,0.09,0.06,0.09,2024-25 Premier League Champion,0.08,1.22,0.69,1.05,4.7,2.32,,,,,,,,,,,,,,,,,,,Ibrahima Konaté,Centre-Back,25.05.1999 (26),"1,94m",right,€60.00m,Liverpool,Premier League
Luis Díaz,coCOL,27,50,3323.0,36.9,17.0,5.0,22.0,17.0,0.0,0.0,3.0,0.0,14.5,14.5,6.2,20.7,134.0,133.0,371.0,0.46,0.14,0.6,0.46,0.6,0.43,0.18,0.61,0.43,0.61,4x Domestic League Champion,,,,,,,,,,,,,,,,,,,,,,,,,Luis Díaz,Left Winger,13.01.1997 (28),"1,80m",right,€70.00m,Liverpool,Premier League
Andrew Robertson,sctSCO,30,45,3311.0,36.8,0.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,1.6,1.6,5.3,6.9,76.0,214.0,127.0,0.0,0.05,0.05,0.0,0.05,0.05,0.16,0.21,0.05,0.21,"2x Premier League Champion, 2018-19 Champions League Champion",3.8,1.33,0.75,0.48,2.23,0.27,,,,,,,,,,,,,,,,,,,Andrew Robertson,Left-Back,11.03.1994 (31),"1,78m",left,€18.00m,Liverpool,Premier League
Alisson,brBRA,31,35,3168.0,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,"2019 The Best FIFA Men's Goalkeeper, 2x Premier League Champion, 2018-19 Champions League Champion",,,,,,,,,,,,,,,,,,73.4%,0.29,0.0%,33.3%,4.8%,1.62,15.4,Alisson,Goalkeeper,02.10.1992 (32),"1,93m",right,€20.00m,Liverpool,Premier League
Trent Alexander-Arnold,engENG,25,44,3073.0,34.1,4.0,7.0,11.0,4.0,0.0,0.0,5.0,0.0,2.3,2.3,7.8,10.2,56.0,278.0,110.0,0.12,0.21,0.32,0.12,0.32,0.07,0.24,0.31,0.07,0.31,"2x Premier League Champion, 2018-19 Champions League Champion",3.46,2.7,1.23,0.88,1.89,0.13,,,,,,,,,,,,,,,,,,,Trent Alexander-Arnold,Right-Back,07.10.1998 (26),"1,80m",right,€75.00m,Liverpool,Premier League
