player,nation,age,mp,min,90s Played,gls,ast,g+a,g-pk,pk,pkatt,Yellow Cards,Red Cards,xg,npxg,xag,npxg+xag,Progressive Carries,Progressive Passes,Progressive Passes Received,gls_1,ast_1,g+a_1,g-pk_1,g+a-pk,xg_1,xag_1,xg+xag,npxg_1,npxg+xag_1,achievements,df_progressive_passes_rec_90,df_tackles_90,df_interceptions_90,df_blocks_90,df_clearances_90,df_aerials_won_90,mf_shot_creating_actions_90,mf_passes_attempted_90,mf_pass_completion_pct,mf_progressive_passes_90,mf_progressive_carries_90,mf_progressive_passes_rec_90,mf_tackles_90,mf_interceptions_90,mf_blocks_90,mf_clearances_90,mf_aerials_won_90,gk_save_percentage,gk_psxg_per_sot,gk_save_pct_penalty_kicks,gk_clean_sheet_percentage,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_of_def_actions,Player,Position,Date of birth / Age,Height,Foot,Market value,Club,League
Willian Pacho,ecECU,22,52,4133.0,45.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.5,0.8,6.0,89.0,3.0,0.0,0.04,0.04,0.0,0.04,0.01,0.01,0.02,0.01,0.02,"3x Domestic League Champion, 2024-25 Champions League Champion",0.08,2.03,1.48,1.28,4.07,1.53,,,,,,,,,,,,,,,,,,,Willian Pacho,Centre-Back,16.10.2001 (23),"1,87m",left,€65.00m,PSG,Ligue 1
Achraf Hakimi,maMAR,25,48,4102.0,45.6,9.0,12.0,21.0,9.0,0.0,0.0,7.0,0.0,6.1,6.1,10.8,16.9,168.0,293.0,434.0,0.2,0.26,0.46,0.2,0.46,0.15,0.27,0.43,0.15,0.43,"5x Domestic League Champion, 2024-25 Champions League Champion",10.79,2.08,1.12,1.24,1.09,0.38,,,,,,,,,,,,,,,,,,,Achraf Hakimi,Right-Back,04.11.1998 (26),"1,81m",right,€80.00m,PSG,Ligue 1
Vitinha,ptPOR,24,52,3927.0,43.6,7.0,3.0,10.0,4.0,3.0,4.0,1.0,0.0,5.7,2.6,4.7,7.3,77.0,327.0,78.0,0.16,0.07,0.23,0.09,0.16,0.15,0.12,0.27,0.07,0.19,"5x Domestic League Champion, 2024-25 Champions League Champion",,,,,,,3.35,98.25,93.0%,8.38,2.01,1.99,1.57,0.9,0.88,1.24,0.05,,,,,,,,Vitinha,Central Midfield,13.02.2000 (25),"1,72m",right,€80.00m,PSG,Ligue 1
João Neves,ptPOR,19,52,3776.0,42.0,5.0,9.0,14.0,5.0,0.0,0.0,4.0,0.0,5.1,5.1,5.7,10.8,57.0,234.0,112.0,0.12,0.21,0.33,0.12,0.33,0.14,0.16,0.3,0.14,0.3,"2x Domestic League Champion, 2024-25 Champions League Champion",,,,,,,3.07,73.11,91.4%,6.35,1.56,2.95,3.26,0.95,1.37,1.37,1.0,,,,,,,,João Neves,Central Midfield,27.09.2004 (20),"1,74m",right,€80.00m,PSG,Ligue 1
Bradley Barcola,frFRA,21,58,3655.0,40.6,21.0,18.0,39.0,21.0,0.0,0.0,4.0,0.0,19.5,19.5,13.9,33.3,198.0,121.0,551.0,0.52,0.44,0.96,0.52,0.96,0.54,0.38,0.92,0.54,0.92,"2x Ligue 1 Champion, 2024-25 Champions League Champion",,,,,,,,,,,,,,,,,,,,,,,,,Bradley Barcola,Left Winger,02.09.2002 (22),"1,82m",right,€70.00m,PSG,Ligue 1
Nuno Mendes,ptPOR,22,46,3572.0,39.7,5.0,5.0,10.0,5.0,0.0,0.0,8.0,0.0,4.4,4.4,6.3,10.6,100.0,225.0,155.0,0.13,0.13,0.25,0.13,0.25,0.13,0.18,0.31,0.13,0.31,"5x Domestic League Champion, 2024-25 Champions League Champion",4.48,2.26,1.17,1.11,2.51,1.0,,,,,,,,,,,,,,,,,,,Nuno Mendes,Left-Back,19.06.2002 (23),"1,80m",left,€70.00m,PSG,Ligue 1
Gianluigi Donnarumma,itITA,25,40,3561.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"4x Ligue 1 Champion, 2024-25 Champions League Champion",,,,,,,,,,,,,,,,,,68.6%,0.31,0.0%,27.0%,6.4%,0.86,12.6,Gianluigi Donnarumma,Goalkeeper,25.02.1999 (26),"1,96m",right,€40.00m,PSG,Ligue 1
Marquinhos,brBRA,30,42,3554.0,39.5,3.0,0.0,3.0,3.0,0.0,0.0,7.0,0.0,1.8,1.8,1.4,3.2,36.0,238.0,5.0,0.08,0.0,0.08,0.08,0.08,0.05,0.04,0.09,0.05,0.09,"10x Ligue 1 Champion, 3x Coupe de la Ligue Champion, 2024-25 Champions League Champion",0.14,1.69,0.49,1.43,4.61,2.09,,,,,,,,,,,,,,,,,,,Marquinhos,Centre-Back,14.05.1994 (31),"1,83m",right,€35.00m,PSG,Ligue 1
Ousmane Dembélé,frFRA,27,49,3307.0,36.7,33.0,13.0,46.0,32.0,1.0,1.0,3.0,1.0,24.7,23.9,11.9,35.8,216.0,224.0,390.0,0.9,0.35,1.25,0.87,1.22,0.78,0.38,1.15,0.75,1.13,"2024-25 Ligue 1 Male Player of the Year, 5x Domestic League Champion, 2024-25 Champions League Champion, 2018 World Cup Champion",,,,,,,,,,,,,,,,,,,,,,,,,Ousmane Dembélé,Right Winger,15.05.1997 (28),"1,78m",both,€90.00m,PSG,Ligue 1
Désiré Doué,frFRA,19,54,3012.0,33.5,15.0,14.0,29.0,15.0,0.0,0.0,2.0,0.0,7.8,7.8,10.4,18.2,149.0,166.0,296.0,0.45,0.42,0.87,0.45,0.87,0.29,0.38,0.67,0.29,0.67,"2024-25 Ligue 1 Champion, 2024-25 Champions League Champion",,,,,,,,,,,,,,,,,,,,,,,,,Désiré Doué,Right Winger,03.06.2005 (20),"1,81m",right,€90.00m,PSG,Ligue 1
