player,nation,age,mp,min,90s Played,gls,ast,g+a,g-pk,pk,pkatt,Yellow Cards,Red Cards,xg,npxg,xag,npxg+xag,Progressive Carries,Progressive Passes,Progressive Passes Received,gls_1,ast_1,g+a_1,g-pk_1,g+a-pk,xg_1,xag_1,xg+xag,npxg_1,npxg+xag_1,achievements,df_progressive_passes_rec_90,df_tackles_90,df_interceptions_90,df_blocks_90,df_clearances_90,df_aerials_won_90,mf_shot_creating_actions_90,mf_passes_attempted_90,mf_pass_completion_pct,mf_progressive_passes_90,mf_progressive_carries_90,mf_progressive_passes_rec_90,mf_tackles_90,mf_interceptions_90,mf_blocks_90,mf_clearances_90,mf_aerials_won_90,gk_save_percentage,gk_psxg_per_sot,gk_save_pct_penalty_kicks,gk_clean_sheet_percentage,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_of_def_actions,Player,Position,Date of birth / Age,Height,Foot,Market value,Club,League
Federico Valverde,uyURU,26,58,4938.0,54.9,9.0,8.0,17.0,9.0,0.0,0.0,5.0,0.0,3.0,3.0,5.8,8.8,90.0,304.0,99.0,0.16,0.15,0.31,0.16,0.31,0.06,0.12,0.19,0.06,0.19,"4x Domestic League Champion, 2x Champions League Champion",2.09,1.59,1.75,1.16,1.68,0.8,,,,,,,,,,,,,,,,,,,Federico Valverde,Central Midfield,22.07.1998 (26),"1,82m",right,€130.00m,Real Madrid,La Liga
Kylian Mbappé,frFRA,25,55,4532.0,50.4,42.0,4.0,46.0,35.0,7.0,10.0,3.0,1.0,35.0,27.0,8.7,35.7,203.0,175.0,503.0,0.83,0.08,0.91,0.7,0.77,0.79,0.19,0.98,0.61,0.8,"5x Ligue 1 Male Player of the Year, 7x Ligue 1 Champion, 2x Coupe de la Ligue Champion, 2018 World Cup Champion, 4x French Player of the Year, 2022 FIFA World Cup Silver Ball",,,,,,,,,,,,,,,,,,,,,,,,,Kylian Mbappé,Centre-Forward,20.12.1998 (26),"1,78m",right,€180.00m,Real Madrid,La Liga
Jude Bellingham,engENG,21,51,4247.0,47.2,14.0,13.0,27.0,13.0,1.0,2.0,11.0,2.0,15.2,13.7,6.1,19.7,97.0,277.0,190.0,0.3,0.28,0.57,0.28,0.55,0.38,0.15,0.53,0.34,0.5,"2023-24 La Liga Best Player, 2023-24 La Liga Champion, 2023-24 Champions League Champion",,,,,,,3.57,53.26,87.0%,6.7,2.42,4.71,2.11,0.99,1.22,0.94,0.99,,,,,,,,Jude Bellingham,Attacking Midfield,29.06.2003 (22),"1,86m",right,€180.00m,Real Madrid,La Liga
Aurélien Tchouaméni,frFRA,24,51,4233.0,47.0,2.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,1.9,1.9,0.8,2.7,24.0,202.0,15.0,0.04,0.02,0.06,0.04,0.06,0.05,0.02,0.07,0.05,0.07,"2023-24 La Liga Champion, 2023-24 Champions League Champion",0.39,1.73,1.55,1.31,2.84,2.0,,,,,,,,,,,,,,,,,,,Aurélien Tchouaméni,Defensive Midfield,27.01.2000 (25),"1,88m",right,€75.00m,Real Madrid,La Liga
Thibaut Courtois,beBEL,32,46,4200.0,46.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2018 The Best FIFA Men's Goalkeeper, 6x Domestic League Champion, 2021-22 Champions League Champion",,,,,,,,,,,,,,,,,,75.7%,0.28,16.7%,29.3%,6.9%,0.37,9.8,Thibaut Courtois,Goalkeeper,11.05.1992 (33),"2,00m",left,€20.00m,Real Madrid,La Liga
Antonio Rüdiger,deGER,31,49,4098.0,45.5,3.0,0.0,3.0,3.0,0.0,0.0,7.0,1.0,3.4,3.4,0.8,4.2,27.0,129.0,6.0,0.07,0.0,0.07,0.07,0.07,0.09,0.02,0.11,0.09,0.11,"2023-24 La Liga Champion, 2x Champions League Champion",0.16,0.88,0.35,0.77,3.88,1.25,,,,,,,,,,,,,,,,,,,Antonio Rüdiger,Centre-Back,03.03.1993 (32),"1,90m",right,€20.00m,Real Madrid,La Liga
Vinicius Júnior,brBRA,24,51,4073.0,45.3,20.0,14.0,34.0,17.0,3.0,5.0,15.0,1.0,17.0,13.3,11.8,25.1,251.0,113.0,378.0,0.44,0.31,0.75,0.38,0.68,0.46,0.32,0.77,0.36,0.67,"2024 The Best FIFA Men's Player, 3x La Liga Champion, 2x Champions League Champion",,,,,,,,,,,,,,,,,,,,,,,,,Vinicius Junior,Left Winger,12.07.2000 (24),"1,76m",right,€170.00m,Real Madrid,La Liga
Rodrygo,brBRA,23,50,3275.0,36.4,13.0,9.0,22.0,13.0,0.0,0.0,0.0,0.0,6.3,6.2,5.4,11.5,158.0,146.0,353.0,0.36,0.25,0.6,0.36,0.6,0.2,0.17,0.37,0.2,0.37,"3x La Liga Champion, 2x Champions League Champion",,,,,,,4.61,49.73,85.6%,4.71,5.08,11.41,1.26,0.5,0.93,0.53,0.4,,,,,,,,Rodrygo,Right Winger,09.01.2001 (24),"1,74m",right,€90.00m,Real Madrid,La Liga
Lucas Vázquez,esESP,33,50,3232.0,35.9,2.0,7.0,9.0,2.0,0.0,0.0,9.0,1.0,2.0,2.0,5.7,7.7,44.0,124.0,241.0,0.06,0.19,0.25,0.06,0.25,0.06,0.19,0.25,0.06,0.25,"4x La Liga Champion, 5x Champions League Champion",7.86,2.32,0.85,0.91,1.57,0.23,,,,,,,,,,,,,,,,,,,Lucas Vázquez,Right-Back,01.07.1991 (33),"1,73m",right,€3.00m,Real Madrid,La Liga
Raúl Asencio,esESP,21,41,3063.0,34.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.2,0.2,0.6,0.8,8.0,34.0,6.0,0.0,0.06,0.06,0.0,0.06,0.01,0.02,0.03,0.01,0.03,,0.22,1.27,0.71,0.67,4.17,1.3,,,,,,,,,,,,,,,,,,,Raúl Asencio,Centre-Back,13.02.2003 (22),"1,84m",right,€40.00m,Real Madrid,La Liga
